Reference,Footprint,ModelPath
U1_3D,Custom:U1_3D,${KIPRJMOD}/3Dmodels/ESP32S3_DevKitC1_N16R8.wrl
J_RF1,Custom:J_RF1,${KIPRJMOD}/3Dmodels/nRF24L01_2x4.wrl
J_RF2,Custom:J_RF2,${KIPRJMOD}/3Dmodels/nRF24L01_2x4.wrl
J_GPS1,Custom:J_GPS1,${KIPRJMOD}/3Dmodels/NEO6M.wrl
J_ENC1,Custom:J_ENC1,${KIPRJMOD}/3Dmodels/KY040_Encoder.wrl
SW1,Custom:SW1,${KIPRJMOD}/3Dmodels/Tactile_6x6.wrl
SW2,Custom:SW2,${KIPRJMOD}/3Dmodels/Tactile_6x6.wrl
SW3,Custom:SW3,${KIPRJMOD}/3Dmodels/Tactile_6x6.wrl
SW4,Custom:SW4,${KIPRJMOD}/3Dmodels/Tactile_6x6.wrl
BZ1,Custom:BZ1,${KIPRJMOD}/3Dmodels/Buzzer_12mm.wrl
Q1,Custom:Q1,${KIPRJMOD}/3Dmodels/2N3904_TO92.wrl
R5,Custom:R5,${KIPRJMOD}/3Dmodels/Resistor_THT.wrl
R6,Custom:R6,${KIPRJMOD}/3Dmodels/Resistor_THT.wrl
J_PWR,Custom:J_PWR,${KIPRJMOD}/3Dmodels/Header_1x02.wrl
F1,Custom:F1,${KIPRJMOD}/3Dmodels/Fuse_PTC.wrl
D1,Custom:D1,${KIPRJMOD}/3Dmodels/Diode_SS14.wrl
J_BAT,Custom:J_BAT,${KIPRJMOD}/3Dmodels/Header_1x02.wrl
R13,Custom:R13,${KIPRJMOD}/3Dmodels/Resistor_THT.wrl
R14,Custom:R14,${KIPRJMOD}/3Dmodels/Resistor_THT.wrl
C8,Custom:C8,${KIPRJMOD}/3Dmodels/Capacitor_THT.wrl
