net,layer,width,tag,points
GPIO5,B.Cu,0.300,RF shared trunk,"27.000:27.200 163.000:27.200"
GPIO5,B.Cu,0.300,RF1 branch,"27.000:27.200 36.270:38.390"
GPIO5,B.Cu,0.300,RF2 branch,"163.000:27.200 156.270:38.390"
GPIO5,B.Cu,0.300,J1 shared branch,"82.300:50.160 59.340:27.200 71.000:27.200"
GPIO6,B.Cu,0.300,RF shared trunk,"27.000:29.200 163.000:29.200"
GPIO6,B.Cu,0.300,RF1 branch,"27.000:29.200 33.730:38.390"
GPIO6,B.Cu,0.300,RF2 branch,"163.000:29.200 153.730:38.390"
GPIO6,B.Cu,0.300,J1 shared branch,"82.300:52.700 58.800:29.200 71.000:29.200"
GPIO7,B.Cu,0.300,RF shared trunk,"27.000:31.200 163.000:31.200"
GPIO7,B.Cu,0.300,RF1 branch,"27.000:31.200 36.270:38.390"
GPIO7,B.Cu,0.300,RF2 branch,"163.000:31.200 156.270:38.390"
GPIO7,B.Cu,0.300,J1 shared branch,"82.300:55.240 58.260:31.200 71.000:31.200"
GPIO4,F.Cu,0.300,RF1 SPI/select,"82.300:47.620 76.680:42.000 42.420:42.000 36.270:35.850"
GPIO3,F.Cu,0.300,RF1 CE/CS,"82.300:70.480 57.820:46.000 48.960:46.000 38.810:35.850"
GPIO1,F.Cu,0.300,RF2 link,"107.700:47.620 113.320:42.000 152.660:42.000 158.810:35.850"
GPIO2,F.Cu,0.300,RF2 link,"107.700:50.160 111.860:46.000 146.120:46.000 156.270:35.850"
GPIO12,F.Cu,0.300,TFT bundle,"31.190:100.670 35.860:96.000 69.480:96.000 82.300:83.180"
GPIO11,F.Cu,0.300,TFT bundle,"33.730:100.670 40.400:94.000 68.940:94.000 82.300:80.640"
GPIO9,F.Cu,0.300,TFT bundle,"36.270:100.670 44.940:92.000 65.860:92.000 82.300:75.560"
GPIO8,F.Cu,0.300,TFT bundle,"41.350:100.670 54.020:88.000 62.240:88.000 82.300:67.940"
GPIO10,B.Cu,0.300,TFT bundle layer split,"38.810:100.670 49.480:90.000 70.400:90.000 82.300:78.100"
GPIO18,B.Cu,0.300,GPS UART,"156.270:85.430 143.700:98.000 114.900:98.000 82.300:65.400"
GPIO17,B.Cu,0.300,GPS UART,"158.810:85.430 143.240:101.000 120.440:101.000 82.300:62.860"
GPIO13,B.Cu,0.300,button fanout,"82.300:85.720 78.000:90.020 78.000:104.000 83.460:109.460"
GPIO13,B.Cu,0.300,button internal,"83.460:109.460 83.460:114.540"
GPIO14,B.Cu,0.300,button fanout,"82.300:88.260 74.000:96.560 74.000:82.000 101.460:109.460"
GPIO14,B.Cu,0.300,button internal,"101.460:109.460 101.460:114.540"
GPIO15,B.Cu,0.300,button fanout,"82.300:57.780 70.000:70.080 70.000:60.000 119.460:109.460"
GPIO15,B.Cu,0.300,button internal,"119.460:109.460 119.460:114.540"
GPIO16,B.Cu,0.300,button fanout,"82.300:60.320 66.000:76.620 66.000:38.000 137.460:109.460"
GPIO16,B.Cu,0.300,button internal,"137.460:109.460 137.460:114.540"
GPIO39,F.Cu,0.300,encoder bundle,"30.000:112.000 36.000:106.000 62.020:106.000 107.700:60.320"
GPIO40,F.Cu,0.300,encoder bundle,"32.540:112.000 34.540:110.000 55.480:110.000 107.700:57.780"
GPIO41,F.Cu,0.300,encoder bundle,"35.080:112.000 37.080:114.000 48.940:114.000 107.700:55.240"
GPIO42,F.Cu,0.300,buzzer control,"107.700:52.700 139.000:84.000 103.460:84.000 142.460:123.000"
BUZZER_LOW,F.Cu,0.350,buzzer power return,"161.810:112.000 156.810:117.000 164.000:117.000 158.000:123.000"
BUZZER_BASE,F.Cu,0.300,Q1 base,"147.540:123.000 150.080:123.000 155.460:123.000"
BUZZER_BASE,F.Cu,0.300,Q1 base pull,"142.460:128.000 147.540:123.000 155.460:123.000"
5V_IN,F.Cu,0.600,power,"176.000:123.000 159.460:122.000"
5V_FUSED,F.Cu,0.600,power,"164.540:122.000 148.460:122.000"
5V_PROTECTED,F.Cu,0.450,protected 5V branch,"153.540:122.000 125.540:94.000 123.000:94.000"
5V_PROTECTED,F.Cu,0.450,protected 5V branch,"123.000:94.000 85.500:94.000 82.300:90.800"
VBAT_RAW,B.Cu,0.400,battery sense,"176.000:88.000 161.460:94.000"
BAT_ADC,B.Cu,0.300,battery divider,"166.540:94.000 169.080:94.000 169.080:100.000 161.460:100.000"
BAT_ADC,B.Cu,0.300,battery divider capacitor,"161.460:100.000 170.000:100.000 173.460:99.000"
